"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","TMAX","TMIN","r_date","month","day","year","doy","average_temperature","tgrowth10"
"USW00014762","1/18/16",40.3551,-79.92145,379.2,-99,-138,2016-01-18,1,18,2016,18,-11.85,-1.675
"USW00014762","1/19/16",40.3551,-79.92145,379.2,-71,-138,2016-01-19,1,19,2016,19,-10.45,-3.665
"USW00014762","1/20/16",40.3551,-79.92145,379.2,-55,-127,2016-01-20,1,20,2016,20,-9.1,-4.775
"USW00014762","1/21/16",40.3551,-79.92145,379.2,-43,-105,2016-01-21,1,21,2016,21,-7.4,-4.86
"USW00014762","1/22/16",40.3551,-79.92145,379.2,-38,-88,2016-01-22,1,22,2016,22,-6.3,-4.995
"USW00014762","1/23/16",40.3551,-79.92145,379.2,-16,-77,2016-01-23,1,23,2016,23,-4.65,-4.415
"USW00014762","1/24/16",40.3551,-79.92145,379.2,-16,-110,2016-01-24,1,24,2016,24,-6.3,-5.075
"USW00014762","1/25/16",40.3551,-79.92145,379.2,72,-71,2016-01-25,1,25,2016,25,0.05,-5.845
"USW00014762","1/26/16",40.3551,-79.92145,379.2,106,11,2016-01-26,1,26,2016,26,5.85,-5.565
"USW00014762","1/27/16",40.3551,-79.92145,379.2,11,-43,2016-01-27,1,27,2016,27,-1.6,-5.175
"USW00014762","1/28/16",40.3551,-79.92145,379.2,67,-49,2016-01-28,1,28,2016,28,0.9,-3.9
"USW00014762","1/29/16",40.3551,-79.92145,379.2,28,-55,2016-01-29,1,29,2016,29,-1.35,-2.99
"USW00014762","1/30/16",40.3551,-79.92145,379.2,122,-66,2016-01-30,1,30,2016,30,2.8,-1.8
"USW00014762","1/31/16",40.3551,-79.92145,379.2,183,94,2016-01-31,1,31,2016,31,13.85,0.325
"USW00014762","2/1/16",40.3551,-79.92145,379.2,156,22,2016-02-01,2,1,2016,32,8.9,1.845
"USW00014762","2/2/16",40.3551,-79.92145,379.2,111,-10,2016-02-02,2,2,2016,33,5.05,2.815
"USW00014762","2/3/16",40.3551,-79.92145,379.2,183,72,2016-02-03,2,3,2016,34,12.75,4.72
"USW00014762","2/4/16",40.3551,-79.92145,379.2,67,-5,2016-02-04,2,4,2016,35,3.1,5.025
"USW00014762","2/5/16",40.3551,-79.92145,379.2,28,-27,2016-02-05,2,5,2016,36,0.05,4.445
"USW00014762","2/6/16",40.3551,-79.92145,379.2,72,-27,2016-02-06,2,6,2016,37,2.25,4.83
"USW00014762","2/7/16",40.3551,-79.92145,379.2,106,-38,2016-02-07,2,7,2016,38,3.4,5.08
"USW00014762","2/8/16",40.3551,-79.92145,379.2,89,-5,2016-02-08,2,8,2016,39,4.2,5.635
"USW00014762","2/9/16",40.3551,-79.92145,379.2,17,-32,2016-02-09,2,9,2016,40,-0.75,5.28
"USW00014762","2/10/16",40.3551,-79.92145,379.2,-32,-88,2016-02-10,2,10,2016,41,-6,3.295
"USW00014762","2/11/16",40.3551,-79.92145,379.2,-66,-110,2016-02-11,2,11,2016,42,-8.8,1.525
"USW00014762","2/12/16",40.3551,-79.92145,379.2,-60,-143,2016-02-12,2,12,2016,43,-10.15,0.00499999999999989
"USW00014762","2/13/16",40.3551,-79.92145,379.2,-77,-143,2016-02-13,2,13,2016,44,-11,-2.37
"USW00014762","2/14/16",40.3551,-79.92145,379.2,-60,-160,2016-02-14,2,14,2016,45,-11,-3.78
"USW00014762","2/15/16",40.3551,-79.92145,379.2,17,-60,2016-02-15,2,15,2016,46,-2.15,-4
"USW00014762","2/16/16",40.3551,-79.92145,379.2,22,0,2016-02-16,2,16,2016,47,1.1,-4.115
"USW00014762","2/17/16",40.3551,-79.92145,379.2,17,-27,2016-02-17,2,17,2016,48,-0.5,-4.505
"USW00014762","2/18/16",40.3551,-79.92145,379.2,11,-77,2016-02-18,2,18,2016,49,-3.3,-5.255
"USW00014762","2/19/16",40.3551,-79.92145,379.2,156,-32,2016-02-19,2,19,2016,50,6.2,-4.56
"USW00014762","2/20/16",40.3551,-79.92145,379.2,206,106,2016-02-20,2,20,2016,51,15.6,-2.4
"USW00014762","2/21/16",40.3551,-79.92145,379.2,144,28,2016-02-21,2,21,2016,52,8.6,-0.66
"USW00014762","2/22/16",40.3551,-79.92145,379.2,106,-10,2016-02-22,2,22,2016,53,4.8,0.835
"USW00014762","2/23/16",40.3551,-79.92145,379.2,117,28,2016-02-23,2,23,2016,54,7.25,2.66
"USW00014762","2/24/16",40.3551,-79.92145,379.2,183,44,2016-02-24,2,24,2016,55,11.35,4.895
"USW00014762","2/25/16",40.3551,-79.92145,379.2,83,-16,2016-02-25,2,25,2016,56,3.35,5.445
"USW00014762","2/26/16",40.3551,-79.92145,379.2,-5,-43,2016-02-26,2,26,2016,57,-2.4,5.095
"USW00014762","2/27/16",40.3551,-79.92145,379.2,56,-27,2016-02-27,2,27,2016,58,1.45,5.29
"USW00014762","2/28/16",40.3551,-79.92145,379.2,189,17,2016-02-28,2,28,2016,59,10.3,6.65
"USW00014762","2/29/16",40.3551,-79.92145,379.2,161,33,2016-02-29,2,29,2016,60,9.7,7
"USW00014762","3/1/16",40.3551,-79.92145,379.2,194,11,2016-03-01,3,1,2016,61,10.25,6.465
"USW00014762","3/2/16",40.3551,-79.92145,379.2,61,-32,2016-03-02,3,2,2016,62,1.45,5.75
"USW00014762","3/3/16",40.3551,-79.92145,379.2,22,-66,2016-03-03,3,3,2016,63,-2.2,5.05
"USW00014762","3/4/16",40.3551,-79.92145,379.2,17,-5,2016-03-04,3,4,2016,64,0.6,4.385
"USW00014762","3/5/16",40.3551,-79.92145,379.2,61,-10,2016-03-05,3,5,2016,65,2.55,3.505
"USW00014762","3/6/16",40.3551,-79.92145,379.2,50,11,2016-03-06,3,6,2016,66,3.05,3.475
"USW00014762","3/7/16",40.3551,-79.92145,379.2,200,6,2016-03-07,3,7,2016,67,10.3,4.745
"USW00014762","3/8/16",40.3551,-79.92145,379.2,217,106,2016-03-08,3,8,2016,68,16.15,6.215
"USW00014762","3/9/16",40.3551,-79.92145,379.2,233,94,2016-03-09,3,9,2016,69,16.35,6.82
"USW00014762","3/10/16",40.3551,-79.92145,379.2,183,117,2016-03-10,3,10,2016,70,15,7.35
"USW00014762","3/11/16",40.3551,-79.92145,379.2,128,50,2016-03-11,3,11,2016,71,8.9,7.215
"USW00014762","3/12/16",40.3551,-79.92145,379.2,200,39,2016-03-12,3,12,2016,72,11.95,8.265
"USW00014762","3/13/16",40.3551,-79.92145,379.2,150,94,2016-03-13,3,13,2016,73,12.2,9.705
"USW00014762","3/14/16",40.3551,-79.92145,379.2,206,94,2016-03-14,3,14,2016,74,15,11.145
"USW00014762","3/15/16",40.3551,-79.92145,379.2,161,94,2016-03-15,3,15,2016,75,12.75,12.165
"USW00014762","3/16/16",40.3551,-79.92145,379.2,211,100,2016-03-16,3,16,2016,76,15.55,13.415
"USW00014762","3/17/16",40.3551,-79.92145,379.2,150,67,2016-03-17,3,17,2016,77,10.85,13.47
"USW00014762","3/18/16",40.3551,-79.92145,379.2,150,22,2016-03-18,3,18,2016,78,8.6,12.715
"USW00014762","3/19/16",40.3551,-79.92145,379.2,44,6,2016-03-19,3,19,2016,79,2.5,11.33
"USW00014762","3/20/16",40.3551,-79.92145,379.2,33,-5,2016-03-20,3,20,2016,80,1.4,9.97
"USW00014762","3/21/16",40.3551,-79.92145,379.2,56,-32,2016-03-21,3,21,2016,81,1.2,9.2
"USW00014762","3/22/16",40.3551,-79.92145,379.2,156,-16,2016-03-22,3,22,2016,82,7,8.705
"USW00014762","3/23/16",40.3551,-79.92145,379.2,206,111,2016-03-23,3,23,2016,83,15.85,9.07
"USW00014762","3/24/16",40.3551,-79.92145,379.2,233,100,2016-03-24,3,24,2016,84,16.65,9.235
"USW00014762","3/25/16",40.3551,-79.92145,379.2,156,11,2016-03-25,3,25,2016,85,8.35,8.795
"USW00014762","3/26/16",40.3551,-79.92145,379.2,156,0,2016-03-26,3,26,2016,86,7.8,8.02
"USW00014762","3/27/16",40.3551,-79.92145,379.2,239,56,2016-03-27,3,27,2016,87,14.75,8.41
"USW00014762","3/28/16",40.3551,-79.92145,379.2,144,44,2016-03-28,3,28,2016,88,9.4,8.49
"USW00014762","3/29/16",40.3551,-79.92145,379.2,111,17,2016-03-29,3,29,2016,89,6.4,8.88
"USW00014762","3/30/16",40.3551,-79.92145,379.2,200,-5,2016-03-30,3,30,2016,90,9.75,9.715
"USW00014762","3/31/16",40.3551,-79.92145,379.2,217,144,2016-03-31,3,31,2016,91,18.05,11.4
"USW00014762","4/1/16",40.3551,-79.92145,379.2,194,72,2016-04-01,4,1,2016,92,13.3,12.03
"USW00014762","4/2/16",40.3551,-79.92145,379.2,117,-5,2016-04-02,4,2,2016,93,5.6,11.005
"USW00014762","4/3/16",40.3551,-79.92145,379.2,83,-38,2016-04-03,4,3,2016,94,2.25,9.565
"USW00014762","4/4/16",40.3551,-79.92145,379.2,128,-27,2016-04-04,4,4,2016,95,5.05,9.235
"USW00014762","4/5/16",40.3551,-79.92145,379.2,61,-55,2016-04-05,4,5,2016,96,0.3,8.485
"USW00014762","4/6/16",40.3551,-79.92145,379.2,189,-21,2016-04-06,4,6,2016,97,8.4,7.85
"USW00014762","4/7/16",40.3551,-79.92145,379.2,117,11,2016-04-07,4,7,2016,98,6.4,7.55
"USW00014762","4/8/16",40.3551,-79.92145,379.2,72,-5,2016-04-08,4,8,2016,99,3.35,7.245
"USW00014762","4/9/16",40.3551,-79.92145,379.2,11,-49,2016-04-09,4,9,2016,100,-1.9,6.08
"USW00014762","4/10/16",40.3551,-79.92145,379.2,111,-60,2016-04-10,4,10,2016,101,2.55,4.53
"USW00014762","4/11/16",40.3551,-79.92145,379.2,183,94,2016-04-11,4,11,2016,102,13.85,4.585
"USW00014762","4/12/16",40.3551,-79.92145,379.2,106,11,2016-04-12,4,12,2016,103,5.85,4.61
"USW00014762","4/13/16",40.3551,-79.92145,379.2,139,-10,2016-04-13,4,13,2016,104,6.45,5.03
"USW00014762","4/14/16",40.3551,-79.92145,379.2,194,28,2016-04-14,4,14,2016,105,11.1,5.635
"USW00014762","4/15/16",40.3551,-79.92145,379.2,211,61,2016-04-15,4,15,2016,106,13.6,6.965
"USW00014762","4/16/16",40.3551,-79.92145,379.2,233,83,2016-04-16,4,16,2016,107,15.8,7.705
"USW00014762","4/17/16",40.3551,-79.92145,379.2,272,100,2016-04-17,4,17,2016,108,18.6,8.925
"USW00014762","4/18/16",40.3551,-79.92145,379.2,272,122,2016-04-18,4,18,2016,109,19.7,10.56
"USW00014762","4/19/16",40.3551,-79.92145,379.2,233,117,2016-04-19,4,19,2016,110,17.5,12.5
"USW00014762","4/20/16",40.3551,-79.92145,379.2,233,89,2016-04-20,4,20,2016,111,16.1,13.855
"USW00014762","4/21/16",40.3551,-79.92145,379.2,233,133,2016-04-21,4,21,2016,112,18.3,14.3
"USW00014762","4/22/16",40.3551,-79.92145,379.2,200,128,2016-04-22,4,22,2016,113,16.4,15.355
"USW00014762","4/23/16",40.3551,-79.92145,379.2,167,72,2016-04-23,4,23,2016,114,11.95,15.905
"USW00014762","4/24/16",40.3551,-79.92145,379.2,206,44,2016-04-24,4,24,2016,115,12.5,16.045
"USW00014762","4/25/16",40.3551,-79.92145,379.2,261,78,2016-04-25,4,25,2016,116,16.95,16.38
"USW00014762","4/26/16",40.3551,-79.92145,379.2,244,111,2016-04-26,4,26,2016,117,17.75,16.575
"USW00014762","4/27/16",40.3551,-79.92145,379.2,183,83,2016-04-27,4,27,2016,118,13.3,16.045
"USW00014762","4/28/16",40.3551,-79.92145,379.2,133,78,2016-04-28,4,28,2016,119,10.55,15.13
"USW00014762","4/29/16",40.3551,-79.92145,379.2,139,72,2016-04-29,4,29,2016,120,10.55,14.435
"USW00014762","4/30/16",40.3551,-79.92145,379.2,189,78,2016-04-30,4,30,2016,121,13.35,14.16
"USW00014762","5/1/16",40.3551,-79.92145,379.2,222,117,2016-05-01,5,1,2016,122,16.95,14.025
"USW00014762","5/2/16",40.3551,-79.92145,379.2,206,111,2016-05-02,5,2,2016,123,15.85,13.97
"USW00014762","5/3/16",40.3551,-79.92145,379.2,178,89,2016-05-03,5,3,2016,124,13.35,14.11
"USW00014762","5/4/16",40.3551,-79.92145,379.2,172,89,2016-05-04,5,4,2016,125,13.05,14.165
"USW00014762","5/5/16",40.3551,-79.92145,379.2,172,83,2016-05-05,5,5,2016,126,12.75,13.745
"USW00014762","5/6/16",40.3551,-79.92145,379.2,194,89,2016-05-06,5,6,2016,127,14.15,13.385
"USW00014762","5/7/16",40.3551,-79.92145,379.2,217,78,2016-05-07,5,7,2016,128,14.75,13.53
"USW00014762","5/8/16",40.3551,-79.92145,379.2,183,78,2016-05-08,5,8,2016,129,13.05,13.78
"USW00014762","5/9/16",40.3551,-79.92145,379.2,133,78,2016-05-09,5,9,2016,130,10.55,13.78
"USW00014762","5/10/16",40.3551,-79.92145,379.2,206,100,2016-05-10,5,10,2016,131,15.3,13.975
"USW00014762","5/11/16",40.3551,-79.92145,379.2,233,128,2016-05-11,5,11,2016,132,18.05,14.085
"USW00014762","5/12/16",40.3551,-79.92145,379.2,256,128,2016-05-12,5,12,2016,133,19.2,14.42
"USW00014762","5/13/16",40.3551,-79.92145,379.2,206,133,2016-05-13,5,13,2016,134,16.95,14.78
"USW00014762","5/14/16",40.3551,-79.92145,379.2,133,50,2016-05-14,5,14,2016,135,9.15,14.39
"USW00014762","5/15/16",40.3551,-79.92145,379.2,100,33,2016-05-15,5,15,2016,136,6.65,13.78
"USW00014762","5/16/16",40.3551,-79.92145,379.2,167,22,2016-05-16,5,16,2016,137,9.45,13.31
"USW00014762","5/17/16",40.3551,-79.92145,379.2,167,89,2016-05-17,5,17,2016,138,12.8,13.115
"USW00014762","5/18/16",40.3551,-79.92145,379.2,133,89,2016-05-18,5,18,2016,139,11.1,12.92
"USW00014762","5/19/16",40.3551,-79.92145,379.2,206,56,2016-05-19,5,19,2016,140,13.1,13.175
"USW00014762","5/20/16",40.3551,-79.92145,379.2,222,83,2016-05-20,5,20,2016,141,15.25,13.17
"USW00014762","5/21/16",40.3551,-79.92145,379.2,139,106,2016-05-21,5,21,2016,142,12.25,12.59
"USW00014762","5/22/16",40.3551,-79.92145,379.2,167,100,2016-05-22,5,22,2016,143,13.35,12.005
"USW00014762","5/23/16",40.3551,-79.92145,379.2,244,100,2016-05-23,5,23,2016,144,17.2,12.03
"USW00014762","5/24/16",40.3551,-79.92145,379.2,261,100,2016-05-24,5,24,2016,145,18.05,12.92
"USW00014762","5/25/16",40.3551,-79.92145,379.2,272,128,2016-05-25,5,25,2016,146,20,14.255
"USW00014762","5/26/16",40.3551,-79.92145,379.2,272,183,2016-05-26,5,26,2016,147,22.75,15.585
"USW00014762","5/27/16",40.3551,-79.92145,379.2,300,189,2016-05-27,5,27,2016,148,24.45,16.75
"USW00014762","5/28/16",40.3551,-79.92145,379.2,306,189,2016-05-28,5,28,2016,149,24.75,18.115
"USW00014762","5/29/16",40.3551,-79.92145,379.2,278,172,2016-05-29,5,29,2016,150,22.5,19.055
"USW00014762","5/30/16",40.3551,-79.92145,379.2,278,161,2016-05-30,5,30,2016,151,21.95,19.725
"USW00014762","5/31/16",40.3551,-79.92145,379.2,294,156,2016-05-31,5,31,2016,152,22.5,20.75
"USW00014762","6/1/16",40.3551,-79.92145,379.2,306,172,2016-06-01,6,1,2016,153,23.9,21.805
"USW00014762","6/2/16",40.3551,-79.92145,379.2,278,206,2016-06-02,6,2,2016,154,24.2,22.505
"USW00014762","6/3/16",40.3551,-79.92145,379.2,278,189,2016-06-03,6,3,2016,155,23.35,23.035
"USW00014762","6/4/16",40.3551,-79.92145,379.2,261,194,2016-06-04,6,4,2016,156,22.75,23.31
"USW00014762","6/5/16",40.3551,-79.92145,379.2,239,178,2016-06-05,6,5,2016,157,20.85,23.12
"USW00014762","6/6/16",40.3551,-79.92145,379.2,256,161,2016-06-06,6,6,2016,158,20.85,22.76
"USW00014762","6/7/16",40.3551,-79.92145,379.2,217,133,2016-06-07,6,7,2016,159,17.5,22.035
"USW00014762","6/8/16",40.3551,-79.92145,379.2,178,100,2016-06-08,6,8,2016,160,13.9,21.175
"USW00014762","6/9/16",40.3551,-79.92145,379.2,217,106,2016-06-09,6,9,2016,161,16.15,20.595
"USW00014762","6/10/16",40.3551,-79.92145,379.2,272,139,2016-06-10,6,10,2016,162,20.55,20.4
"USW00014762","6/11/16",40.3551,-79.92145,379.2,311,194,2016-06-11,6,11,2016,163,25.25,20.535
"USW00014762","6/12/16",40.3551,-79.92145,379.2,261,144,2016-06-12,6,12,2016,164,20.25,20.14
"USW00014762","6/13/16",40.3551,-79.92145,379.2,244,111,2016-06-13,6,13,2016,165,17.75,19.58
"USW00014762","6/14/16",40.3551,-79.92145,379.2,261,133,2016-06-14,6,14,2016,166,19.7,19.275
"USW00014762","6/15/16",40.3551,-79.92145,379.2,294,167,2016-06-15,6,15,2016,167,23.05,19.495
"USW00014762","6/16/16",40.3551,-79.92145,379.2,250,189,2016-06-16,6,16,2016,168,21.95,19.605
"USW00014762","6/17/16",40.3551,-79.92145,379.2,272,178,2016-06-17,6,17,2016,169,22.5,20.105
"USW00014762","6/18/16",40.3551,-79.92145,379.2,283,178,2016-06-18,6,18,2016,170,23.05,21.02
"USW00014762","6/19/16",40.3551,-79.92145,379.2,283,167,2016-06-19,6,19,2016,171,22.5,21.655
"USW00014762","6/20/16",40.3551,-79.92145,379.2,306,161,2016-06-20,6,20,2016,172,23.35,21.935
"USW00014762","6/21/16",40.3551,-79.92145,379.2,283,200,2016-06-21,6,21,2016,173,24.15,21.825
"USW00014762","6/22/16",40.3551,-79.92145,379.2,267,167,2016-06-22,6,22,2016,174,21.7,21.97
"USW00014762","6/23/16",40.3551,-79.92145,379.2,217,189,2016-06-23,6,23,2016,175,20.3,22.225
"USW00014762","6/24/16",40.3551,-79.92145,379.2,267,194,2016-06-24,6,24,2016,176,23.05,22.56
"USW00014762","6/25/16",40.3551,-79.92145,379.2,294,183,2016-06-25,6,25,2016,177,23.85,22.64
"USW00014762","6/26/16",40.3551,-79.92145,379.2,306,183,2016-06-26,6,26,2016,178,24.45,22.89
"USW00014762","6/27/16",40.3551,-79.92145,379.2,306,211,2016-06-27,6,27,2016,179,25.85,23.225
"USW00014762","6/28/16",40.3551,-79.92145,379.2,272,161,2016-06-28,6,28,2016,180,21.65,23.085
"USW00014762","6/29/16",40.3551,-79.92145,379.2,228,128,2016-06-29,6,29,2016,181,17.8,22.615
"USW00014762","6/30/16",40.3551,-79.92145,379.2,261,128,2016-06-30,6,30,2016,182,19.45,22.225
"USW00014762","7/1/16",40.3551,-79.92145,379.2,272,150,2016-07-01,7,1,2016,183,21.1,21.92
"USW00014762","7/2/16",40.3551,-79.92145,379.2,222,133,2016-07-02,7,2,2016,184,17.75,21.525
"USW00014762","7/3/16",40.3551,-79.92145,379.2,233,139,2016-07-03,7,3,2016,185,18.6,21.355
"USW00014762","7/4/16",40.3551,-79.92145,379.2,244,161,2016-07-04,7,4,2016,186,20.25,21.075
"USW00014762","7/5/16",40.3551,-79.92145,379.2,289,206,2016-07-05,7,5,2016,187,24.75,21.165
"USW00014762","7/6/16",40.3551,-79.92145,379.2,300,200,2016-07-06,7,6,2016,188,25,21.22
"USW00014762","7/7/16",40.3551,-79.92145,379.2,283,200,2016-07-07,7,7,2016,189,24.15,21.05
"USW00014762","7/8/16",40.3551,-79.92145,379.2,289,206,2016-07-08,7,8,2016,190,24.75,21.36
"USW00014762","7/9/16",40.3551,-79.92145,379.2,272,194,2016-07-09,7,9,2016,191,23.3,21.91
"USW00014762","7/10/16",40.3551,-79.92145,379.2,278,167,2016-07-10,7,10,2016,192,22.25,22.19
"USW00014762","7/11/16",40.3551,-79.92145,379.2,300,161,2016-07-11,7,11,2016,193,23.05,22.385
"USW00014762","7/12/16",40.3551,-79.92145,379.2,317,183,2016-07-12,7,12,2016,194,25,23.11
"USW00014762","7/13/16",40.3551,-79.92145,379.2,306,222,2016-07-13,7,13,2016,195,26.4,23.89
"USW00014762","7/14/16",40.3551,-79.92145,379.2,311,211,2016-07-14,7,14,2016,196,26.1,24.475
"USW00014762","7/15/16",40.3551,-79.92145,379.2,294,200,2016-07-15,7,15,2016,197,24.7,24.47
"USW00014762","7/16/16",40.3551,-79.92145,379.2,289,183,2016-07-16,7,16,2016,198,23.6,24.33
"USW00014762","7/17/16",40.3551,-79.92145,379.2,300,183,2016-07-17,7,17,2016,199,24.15,24.33
"USW00014762","7/18/16",40.3551,-79.92145,379.2,311,211,2016-07-18,7,18,2016,200,26.1,24.465
"USW00014762","7/19/16",40.3551,-79.92145,379.2,306,200,2016-07-19,7,19,2016,201,25.3,24.665
"USW00014762","7/20/16",40.3551,-79.92145,379.2,294,167,2016-07-20,7,20,2016,202,23.05,24.745
"USW00014762","7/21/16",40.3551,-79.92145,379.2,317,161,2016-07-21,7,21,2016,203,23.9,24.83
"USW00014762","7/22/16",40.3551,-79.92145,379.2,311,194,2016-07-22,7,22,2016,204,25.25,24.855
"USW00014762","7/23/16",40.3551,-79.92145,379.2,328,211,2016-07-23,7,23,2016,205,26.95,24.91
"USW00014762","7/24/16",40.3551,-79.92145,379.2,328,206,2016-07-24,7,24,2016,206,26.7,24.97
"USW00014762","7/25/16",40.3551,-79.92145,379.2,344,217,2016-07-25,7,25,2016,207,28.05,25.305
"USW00014762","7/26/16",40.3551,-79.92145,379.2,306,211,2016-07-26,7,26,2016,208,25.85,25.53
"USW00014762","7/27/16",40.3551,-79.92145,379.2,317,211,2016-07-27,7,27,2016,209,26.4,25.755
"USW00014762","7/28/16",40.3551,-79.92145,379.2,261,200,2016-07-28,7,28,2016,210,23.05,25.45
"USW00014762","7/29/16",40.3551,-79.92145,379.2,289,194,2016-07-29,7,29,2016,211,24.15,25.335
"USW00014762","7/30/16",40.3551,-79.92145,379.2,250,206,2016-07-30,7,30,2016,212,22.8,25.31
"USW00014762","7/31/16",40.3551,-79.92145,379.2,294,194,2016-07-31,7,31,2016,213,24.4,25.36
"USW00014762","8/1/16",40.3551,-79.92145,379.2,300,200,2016-08-01,8,1,2016,214,25,25.335
"USW00014762","8/2/16",40.3551,-79.92145,379.2,306,200,2016-08-02,8,2,2016,215,25.3,25.17
"USW00014762","8/3/16",40.3551,-79.92145,379.2,300,200,2016-08-03,8,3,2016,216,25,25
"USW00014762","8/4/16",40.3551,-79.92145,379.2,289,217,2016-08-04,8,4,2016,217,25.3,24.725
"USW00014762","8/5/16",40.3551,-79.92145,379.2,294,200,2016-08-05,8,5,2016,218,24.7,24.61
"USW00014762","8/6/16",40.3551,-79.92145,379.2,283,194,2016-08-06,8,6,2016,219,23.85,24.355
"USW00014762","8/7/16",40.3551,-79.92145,379.2,289,167,2016-08-07,8,7,2016,220,22.8,24.33
"USW00014762","8/8/16",40.3551,-79.92145,379.2,289,189,2016-08-08,8,8,2016,221,23.9,24.305
"USW00014762","8/9/16",40.3551,-79.92145,379.2,317,194,2016-08-09,8,9,2016,222,25.55,24.58
"USW00014762","8/10/16",40.3551,-79.92145,379.2,322,233,2016-08-10,8,10,2016,223,27.75,24.915
"USW00014762","8/11/16",40.3551,-79.92145,379.2,328,228,2016-08-11,8,11,2016,224,27.8,25.195
"USW00014762","8/12/16",40.3551,-79.92145,379.2,328,250,2016-08-12,8,12,2016,225,28.9,25.555
"USW00014762","8/13/16",40.3551,-79.92145,379.2,328,239,2016-08-13,8,13,2016,226,28.35,25.89
"USW00014762","8/14/16",40.3551,-79.92145,379.2,283,211,2016-08-14,8,14,2016,227,24.7,25.83
"USW00014762","8/15/16",40.3551,-79.92145,379.2,267,206,2016-08-15,8,15,2016,228,23.65,25.725
"USW00014762","8/16/16",40.3551,-79.92145,379.2,311,222,2016-08-16,8,16,2016,229,26.65,26.005
"USW00014762","8/17/16",40.3551,-79.92145,379.2,239,211,2016-08-17,8,17,2016,230,22.5,25.975
"USW00014762","8/18/16",40.3551,-79.92145,379.2,283,211,2016-08-18,8,18,2016,231,24.7,26.055
"USW00014762","8/19/16",40.3551,-79.92145,379.2,289,178,2016-08-19,8,19,2016,232,23.35,25.835
"USW00014762","8/20/16",40.3551,-79.92145,379.2,300,206,2016-08-20,8,20,2016,233,25.3,25.59
"USW00014762","8/21/16",40.3551,-79.92145,379.2,250,183,2016-08-21,8,21,2016,234,21.65,24.975
"USW00014762","8/22/16",40.3551,-79.92145,379.2,250,156,2016-08-22,8,22,2016,235,20.3,24.115
"USW00014762","8/23/16",40.3551,-79.92145,379.2,267,144,2016-08-23,8,23,2016,236,20.55,23.335
"USW00014762","8/24/16",40.3551,-79.92145,379.2,294,167,2016-08-24,8,24,2016,237,23.05,23.17
"USW00014762","8/25/16",40.3551,-79.92145,379.2,311,217,2016-08-25,8,25,2016,238,26.4,23.445
"USW00014762","8/26/16",40.3551,-79.92145,379.2,306,222,2016-08-26,8,26,2016,239,26.4,23.42
"USW00014762","8/27/16",40.3551,-79.92145,379.2,311,194,2016-08-27,8,27,2016,240,25.25,23.695
"USW00014762","8/28/16",40.3551,-79.92145,379.2,322,206,2016-08-28,8,28,2016,241,26.4,23.865
"USW00014762","8/29/16",40.3551,-79.92145,379.2,294,194,2016-08-29,8,29,2016,242,24.4,23.97
"USW00014762","8/30/16",40.3551,-79.92145,379.2,300,167,2016-08-30,8,30,2016,243,23.35,23.775
"USW00014762","8/31/16",40.3551,-79.92145,379.2,272,167,2016-08-31,8,31,2016,244,21.95,23.805
"USW00014762","9/1/16",40.3551,-79.92145,379.2,250,167,2016-09-01,9,1,2016,245,20.85,23.86
